kind,subject,session,file,q_no,answer
answer_text,Legal Studies,2023-24,LegalStudies-MS.md,27,The Sustainable Development Goals (SDGs) and human rights are interlinked as over AEC 5A 1+1
answer_text,Legal Studies,2023-24,LegalStudies-MS.md,28,There are several advantages to operating as a Limited Liability Partnership (LLP). AEC 4B 1+1
answer_text,Legal Studies,2023-24,LegalStudies-MS.md,32,NCPCR stands for The National Commission for Protection of Child Rights U 5B 1+1+1
answer_text,Legal Studies,2023-24,LegalStudies-MS.md,35,Dying Declaration is a legal concept that refers to the statement which is made by a A 4C 1+1+1
answer_text,Legal Studies,2023-24,LegalStudies-MS.md,40,CONFESSION ADMISSION U 4C 1+1+1+1+
mcq_key,Assamese,2023-24,Assamese-MS.md,9,A
answer_text,Sindhi,2023-24,Sindhi-MS.md,5,I ‘प र जो दु न’ कहाणीअ जो लेखक जो नालो मोहन क ना आहे। 01 1x5=5
answer_text,Sindhi,2023-24,Sindhi-MS.md,6,I दीन या धम मज़मून म लेखक सचे धम जो म तलबु स मझायो आहे ऐ ं 02 2x5=10
answer_text,Sindhi,2023-24,Sindhi-MS.md,8,I ‘अमन जा आसार’ क वता म शाइर भारत ऐ ं उनजे पाड़े सर मु न जे 03 3x3=9
mcq_key,Engg Graphics,2023-24,EnggGraphics-MS.md,21,A
answer_text,Informatics Practices,2023-24,InformaticsPractices-MS.md,19,Web server: A web server is used to store and deliver the contents of a website 2
answer_text,Hindustani Melodic,2023-24,HindustaniMelodic-MS.md,14,"Description of Raga Malkauns and writing of Sthai, Antara with bol in 6"
answer_text,Hindustani Melodic,2023-24,HindustaniMelodic-MS.md,15,Explain the concept of Time theory at present in detail. 6
answer_text,Kokborok,2023-24,Kokborok_MS.md,9,I)l¡jL¡e¡C p±Pj¤P¢e LLh±a¡Pe p¡j¡¢e ELmN' a¡j' 1+4 = 5
mcq_key,Maths,2023-24,Maths-MS.md,8,A
mcq_key,Maths,2023-24,Maths-MS.md,9,B
mcq_key,Maths,2023-24,Maths-MS.md,10,B
mcq_key,Maths,2023-24,Maths-MS.md,11,C
mcq_key,Maths,2023-24,Maths-MS.md,12,B
mcq_key,Maths,2023-24,Maths-MS.md,13,D
mcq_key,Maths,2023-24,Maths-MS.md,14,D
mcq_key,Maths,2023-24,Maths-MS.md,18,D
mcq_key,Maths,2023-24,Maths-MS.md,19,A
mcq_key,Maths,2023-24,Maths-MS.md,20,D
answer_text,Maths,2023-24,Maths-MS.md,30,The feasible region determined by the
answer_text,Maths,2023-24,Maths-MS.md,35,"Let P 1,6,3  be the given point, and let ' L ' be the foot of the perpendicular from ' P ' to the"
answer_text,Painting,2023-24,Painting-MS.md,15,"Describing the continuous growth, Origin and Development in Rajasthani 6"
mcq_key,Biology,2023-24,Biology-MS.md,20,A
mcq_key,Biology,2023-24,Biology-MS.md,22,A
mcq_key,Biology,2023-24,Biology-MS.md,27,A
mcq_key,Biology,2023-24,Biology-MS.md,29,A
mcq_key,Biology,2023-24,Biology-MS.md,30,A
answer_text,Biology,2023-24,Biology-MS.md,19,"On administration of the first dose of the vaccine (L), the body shows a response of low 2"
answer_text,Biology,2023-24,Biology-MS.md,23,The embryo with 8 to 16 blastomeres is called a morula. 3
answer_text,Biology,2023-24,Biology-MS.md,28,Prokaryotic organisms’ diversity is not given any figures by ecologist because of following reasons. 3
answer_text,Hindustani Percussion,2023-24,HindustaniPercussion-MS.md,13,"The candidate is expected to explain term of Tihai with bols, matra,tali, 2"
answer_text,Hindustani Percussion,2023-24,HindustaniPercussion-MS.md,14,The candidate is expected to developed composition based on bols of 6
answer_text,Hindustani Percussion,2023-24,HindustaniPercussion-MS.md,15,The candidate is expected to explain about origin of Tabla based on 6
answer_text,English Elective,2023-24,EnglishElective-MS.md,2,"Based on your understanding of the poem, answer FOUR of five given 4"
answer_text,English Elective,2023-24,EnglishElective-MS.md,6,The marks may be divided as 5
answer_text,English Elective,2023-24,EnglishElective-MS.md,11,Suggestive Responses 2
answer_text,English Elective,2023-24,EnglishElective-MS.md,12,Suggestive Responses 3
answer_text,Arabic,2023-24,Arabic-MS.md,4,Essay writing in Arabic on a given topic in about 100 3+1+1=05
answer_text,Arabic,2023-24,Arabic-MS.md,5,"Definition and explanation of ‫المزكة العذدي‬, with suitable 6+4=10"
answer_text,Arabic,2023-24,Arabic-MS.md,6,Selection of right answers from multiple options. 1X5=5
answer_text,Arabic,2023-24,Arabic-MS.md,7,Selection of right answers from multiple options. 1X5=5
answer_text,Arabic,2023-24,Arabic-MS.md,8,Translation of any two text passages 2X7= 14
answer_text,Arabic,2023-24,Arabic-MS.md,9,Putting vowel points on a passage. 1+4=5
answer_text,Arabic,2023-24,Arabic-MS.md,10,Selection of suitable answers from multiple choices given 1X6=6
answer_text,Arabic,2023-24,Arabic-MS.md,11,Poetry: explanation of any four verses. 4+2=6
answer_text,Arabic,2023-24,Arabic-MS.md,15,Selection of suitable answers from multiple choices given 1X4=4
answer_text,Tangkhul,2023-24,Tangkhul-MS.md,25,"Rai kapinga Longpi Maringthei hi nganuilakha eina pheipang laplap,"
answer_text,Manipuri Dance,2023-24,ManipuriDance-MS.md,11,Sankirtana is form of song or chanting that praises God and is 2
answer_text,Manipuri Dance,2023-24,ManipuriDance-MS.md,12,"Khamba Thoibi Jagoi is a folk dance of Moirang, an ancient kingdom of 2"
answer_text,Manipuri Dance,2023-24,ManipuriDance-MS.md,13,It was in the reign of King Bhagyachandra that the popular Rasleela 2
answer_text,Manipuri Dance,2023-24,ManipuriDance-MS.md,14,There are 66 Naga tribes in Manipur residing mostly in the surrounding 6
answer_text,Manipuri Dance,2023-24,ManipuriDance-MS.md,15,Since Sankirtan is religious performance of Bhakti the performers wear 6
answer_text,Manipuri Dance,2023-24,ManipuriDance-MS.md,16,The poetry used in Manipuri dance is mainly taken from the classical 6
answer_text,Kathakali,2023-24,Kathakali-MS.md,11,Attakadha is the technical term for Kathakali play text. The format for an 2
answer_text,Kathakali,2023-24,Kathakali-MS.md,12,"Keechakavadham, Uttara Swayamvaram, Dakshayagam. 2"
answer_text,Kathakali,2023-24,Kathakali-MS.md,13,"Bharatanatyam, Mohiniyattam, Kathakali, Kuchipudi, Manipuri, Odissi, 2"
answer_text,Kathakali,2023-24,Kathakali-MS.md,14,The four types of Abhinayas in Kathakali are; 6
answer_text,Kathakali,2023-24,Kathakali-MS.md,16,In Kathakali 'Aharyaabhinaya' is taken very seriously. The elaborate 6
mcq_key,Physcal Education,2023-24,PhyscalEducation-MS.md,33,A
answer_text,Carnatic Music Percussion,2023-24,CarnaticMusicPercussion-MS.md,13,Disparity between Jati and gati are expected in simple words 2
answer_text,Carnatic Music Percussion,2023-24,CarnaticMusicPercussion-MS.md,14,Candidates have to notate Korvai set to Triputa Tala. 6
answer_text,Carnatic Music Percussion,2023-24,CarnaticMusicPercussion-MS.md,15,Candidates need to write life sketch and contribution of Palaghat Mani 6
answer_text,Carnatic Music Melodic Instrument,2023-24,CarnaticMusicMelodicInstrument-MS.md,13,Candidates need to give any 4 Popular compositions of Maharaja Swati 2
answer_text,Carnatic Music Melodic Instrument,2023-24,CarnaticMusicMelodicInstrument-MS.md,14,Candidates need to explain the parts of musical instrument with the help 6
answer_text,Carnatic Music Melodic Instrument,2023-24,CarnaticMusicMelodicInstrument-MS.md,15,Candidate need to notate any simple kirtana of their choice. 6
mcq_key,Home Science,2023-24,HomeScience-MS.md,30,A
mcq_key,Home Science,2023-24,HomeScience-MS.md,33,A
mcq_key,Home Science,2023-24,HomeScience-MS.md,34,A
answer_text,Home Science,2023-24,HomeScience-MS.md,20,Four stages of guest cycle- ½X4=2
answer_text,Home Science,2023-24,HomeScience-MS.md,21,Four objectives of diet therapy are- ½X4=2
answer_text,Home Science,2023-24,HomeScience-MS.md,22,Two reasons why analytical capability is required for fashion 1X2=2
answer_text,Home Science,2023-24,HomeScience-MS.md,27,Development Communication- 1+2=3
answer_text,Home Science,2023-24,HomeScience-MS.md,31,Two ways of creating balance- 2+2=4
answer_text,English Core,2023-24,EnglishCore-MS.md,2,Case-based factual passage 10 m
answer_text,English Core,2023-24,EnglishCore-MS.md,9,Prose -Flamingo
mcq_key,Physics,2023-24,Physics-MS.md,26,A
mcq_key,Physics,2023-24,Physics-MS.md,27,A
answer_text,Physics,2023-24,Physics-MS.md,18,"As λ = h / mv , v= h /mλ -----------------(i) 1/2M"
answer_text,Physics,2023-24,Physics-MS.md,19,"Here angle of prism A = 60°, angle of incidence i = angle of emergence e and"
answer_text,Physics,2023-24,Physics-MS.md,20,"Given: V=230 V, I0= 3.2A, I=2.8A, 𝑇0 =27 0C, α=1.70 × 10–4 °C–1."
answer_text,Physics,2023-24,Physics-MS.md,21,Let d be the least distance between object and image for a real image formation.
answer_text,Physics,2023-24,Physics-MS.md,30,(i) a (ii) b (iii) b (iv) d OR c
answer_text,Physics,2023-24,Physics-MS.md,31,i. DIAGRAM/S : 1M
answer_text,Physics,2023-24,Physics-MS.md,32,(i) Derivation of the expression for the capacitance 2M
answer_text,ODIA,2023-24,ODIA-MS.md,7,GK_\ùe _âKûg Ke ö 3x1=3
answer_text,KTPI,2023-24,KTPI-hi-MS.md,3,Match the items in Column A with that of Column B. 1 A
answer_text,KTPI,2023-24,KTPI-hi-MS.md,17,Qlyksa ij dqukityk dk ç;ksx vHkh Hkh fdlkuksa }kjk fd;k tkrk gSA dkj.k 2 A
answer_text,KTPI,2023-24,KTPI-hi-MS.md,20,Hkkjr esa orZeku fLFkfr esa ik;jksVsfDud i)fr dks dSls ykxw fd;k tk ldrk 2 B
answer_text,Carnatic Music Vocal,2023-24,CarnaticMusicVocal-MS.md,14,Notation of any simple kirtana is expected. 6
answer_text,Carnatic Music Vocal,2023-24,CarnaticMusicVocal-MS.md,15,Candidate have to give a brief life sketch and contribution of patanam 6
mcq_key,Lepcha,2023-24,Lepcha-MS.md,1,A
answer_text,Lepcha,2023-24,Lepcha-MS.md,11,Thongoam Kat Nahan:
answer_text,Lepcha,2023-24,Lepcha-MS.md,13,Precise Writing
answer_text,Lepcha,2023-24,Lepcha-MS.md,14,Letter writing (Formal/Informal)
answer_text,History Hindi,2023-24,HistoryHindi-MS.md,34,(34.1) भारि के तिए गए राजनीतिक रे खा मानतित्र पर तनम्नतलखखि को उपयुक्त तिह्ों 1+1+1=3
mcq_key,Economics,2023-24,Economics-MS.md,14,A
mcq_key,Economics,2023-24,Economics-MS.md,16,A
mcq_key,Economics,2023-24,Economics-MS.md,28,A
mcq_key,Economics,2023-24,Economics-MS.md,31,A
answer_text,Economics,2023-24,Economics-MS.md,13,"Given, Change in Investment (I) = ₹ 1,000 crore"
answer_text,Economics,2023-24,Economics-MS.md,15,Central bank accepts the deposits from commercialbanks andalsoadvances loans
answer_text,Economics,2023-24,Economics-MS.md,29,On-the-job trainings have become an integral part of work environment in the recent
answer_text,Economics,2023-24,Economics-MS.md,30,China is the most populous country in the world. Its annual population growth rate was
answer_text,Economics,2023-24,Economics-MS.md,32,The given image depicts the drift of the Indian workforce from the formal sector to the
mcq_key,Spanish,2023-24,Spanish-MS.md,5,A
mcq_key,Spanish,2023-24,Spanish-MS.md,6,A
mcq_key,Spanish,2023-24,Spanish-MS.md,7,A
mcq_key,Spanish,2023-24,Spanish-MS.md,8,A
mcq_key,Spanish,2023-24,Spanish-MS.md,12,A
answer_text,Spanish,2023-24,Spanish-MS.md,9,Paragraph writing on the topic:
answer_text,Spanish,2023-24,Spanish-MS.md,10,Paragraph writing on one of the topics:
answer_text,Spanish,2023-24,Spanish-MS.md,11,The questions are open ended and it is expected that the students respond
answer_text,Kuchipudi,2023-24,Kuchipudi-MS.md,14,Abhiarika is that woman who hastens to the plea of tryst due to love or 6
answer_text,Kuchipudi,2023-24,Kuchipudi-MS.md,15,"According to legends, the founder of Kuchipudi dance-drama tradition is 6"
answer_text,Geography,2023-24,Geography-MS.md,14,Ans. C to provide drinking water 1
answer_text,Geography,2023-24,Geography-MS.md,15,Ans. A Birth Rate – Death Rate 1
answer_text,Geography,2023-24,Geography-MS.md,16,Ans. B Shift from Rural Agrarian economy to Urban Industrial economy 1
answer_text,Geography,2023-24,Geography-MS.md,17,Ans. A. High Birth Rate and High Death Rate 1
answer_text,Geography,2023-24,Geography-MS.md,18,"ANS.1- Rural and urban settlements differ in terms of social relationship, 3"
answer_text,Geography,2023-24,Geography-MS.md,29,"On the given political map of the world, the following seven features 5"
answer_text,Geography,2023-24,Geography-MS.md,30,Locate and label any five of the following Geographical features on the 5
answer_text,Geography,2023-24,Geography-MS.md,2,Cities act as nodes of economic growth; provide goods and services
answer_text,Geography,2023-24,Geography-MS.md,3,"Rural people are less mobile and therefore, social relations among"
mcq_key,Chemistry,2023-24,Chemistry-MS.md,19,A
mcq_key,Chemistry,2023-24,Chemistry-MS.md,20,A
mcq_key,Chemistry,2023-24,Chemistry-MS.md,21,A
mcq_key,Chemistry,2023-24,Chemistry-MS.md,29,A
mcq_key,Chemistry,2023-24,Chemistry-MS.md,30,A
mcq_key,Chemistry,2023-24,Chemistry-MS.md,32,A
answer_text,Odissi,2023-24,Odissi-MS.md,12,"The dance performed by lord Shiva is known as Tandav, which depicts 2"
answer_text,Odissi,2023-24,Odissi-MS.md,13,The term Abhinaya is derived from Bharat Muni’s Natyashtra. It is the 2
answer_text,Odissi,2023-24,Odissi-MS.md,14,Abhinaya Chandrika is an ancient text of 17th century. It is one of the
answer_text,Odissi,2023-24,Odissi-MS.md,15,Odissi Aharya is unique among other classical dances as silver or white
answer_text,Odissi,2023-24,Odissi-MS.md,16,"Late Guru Pankaj Charan Das (1919- 2003) is known as Adi Guru, the"
answer_text,KTPI,2023-24,KTPI-MS.md,2,Identify the correct statement which deals with various 1 CH 4- A
answer_text,KTPI,2023-24,KTPI-MS.md,3,Match the items in Column A with that of Column B. 1 CH 5-Ethics A
answer_text,KTPI,2023-24,KTPI-MS.md,4,Study the picture and answer the question that follows: 1 CH 6-Martial A
answer_text,KTPI,2023-24,KTPI-MS.md,8,Silambam was originally practiced with bamboo sticks and 1 CH 6-Martial C
answer_text,KTPI,2023-24,KTPI-MS.md,9,There are two statements marked as Assertion (A) and a 1 CH 1- C
answer_text,KTPI,2023-24,KTPI-MS.md,10,There are two statements marked as Assertion (A) and a 1 CH 4- C
answer_text,KTPI,2023-24,KTPI-MS.md,15,Study the following picture and the textual description given 1 CH 8-Other B
answer_text,KTPI,2023-24,KTPI-MS.md,17,The application of kunapajala on crops is still practised by 2 CH1- A
answer_text,KTPI,2023-24,KTPI-MS.md,18,Truthfulness and humility are ethics. Justify your stand with 2 CH 5-Ethics A
answer_text,KTPI,2023-24,KTPI-MS.md,19,In what ways does the study of Dhanurveda have modern 2 CH6-Martial B
answer_text,KTPI,2023-24,KTPI-MS.md,24,The martial arts apart from being sources of popular 5 CH6-Martial A
answer_text,KTPI,2023-24,KTPI-MS.md,31,Text material: 3 CH1- D
mcq_key,Manipuri,2023-24,Manipuri-MS.md,24,A
mcq_key,Manipuri,2023-24,Manipuri-MS.md,25,A
mcq_key,Manipuri,2023-24,Manipuri-MS.md,26,A
answer_text,Manipuri,2023-24,Manipuri-MS.md,22,(i) waIHO sgoL haIrg mkoKt zarubaK pudun za yoNnnb hoTnrib mEtE 2X2=4
mcq_key,Entrepreneurship,2023-24,Entrepreneurship-MS.md,21,A
answer_text,Entrepreneurship,2023-24,Entrepreneurship-MS.md,19,It should clearly state the problem 2
answer_text,Entrepreneurship,2023-24,Entrepreneurship-MS.md,27,Advantages of cost plus pricing 3
answer_text,Entrepreneurship,2023-24,Entrepreneurship-MS.md,28,It is actually a blue print prepared right in advance of actual operations — 3
answer_text,Entrepreneurship,2023-24,Entrepreneurship-MS.md,31,Seed capital finance: 5
answer_text,Entrepreneurship,2023-24,Entrepreneurship-MS.md,34,Financial Plan. Components of financial plan 5
answer_text,Kathak,2023-24,Kathak-MS.md,13,After sam at the time of exhibiting division when a clap is given then it is 2
answer_text,Kathak,2023-24,Kathak-MS.md,14,Hundreds of years ago on the eastern coast of India there was a tradition 6
answer_text,Kathak,2023-24,Kathak-MS.md,15,Dhata kathun ga_ dhage / dhige ta_ dhadhet ta_ /dhetta kiredha takka 6
mcq_key,NCC,2023-24,NCC-MS.md,20,A
answer_text,NCC,2023-24,NCC-MS.md,4,International Red Cross and Red Crescent Movement are the world‟s 2
answer_text,NCC,2023-24,NCC-MS.md,6,"The collection, transport, processing or disposal, management and 2"
answer_text,NCC,2023-24,NCC-MS.md,12,"Every nation, with whatever form of government, has certain political, 4"
answer_text,NCC,2023-24,NCC-MS.md,18,"Cardinal points: North, South, East and West are known as the cardinal 2"
answer_text,NCC,2023-24,NCC-MS.md,19,Sailing rules are commonly known as “rules of the road”. There are 2
answer_text,NCC,2023-24,NCC-MS.md,16,The four basic elements required in a map are: 2
answer_text,Pol Sci,2023-24,PolSci-MS.md,5,Match the List I with the List II 1
answer_text,Pol Sci,2023-24,PolSci-MS.md,6,"In the following question, a statement of Assertion (A) is 1"
answer_text,Pol Sci,2023-24,PolSci-MS.md,7,Name the founder President of ‘Congress Socialist Party’. 1
answer_text,Pol Sci,2023-24,PolSci-MS.md,8,"After Independence, the first Lok Sabha elections had to 1"
answer_text,Pol Sci,2023-24,PolSci-MS.md,13,Highlight any two features of Indo-Bhutan relationship. 2x1=2
answer_text,Pol Sci,2023-24,PolSci-MS.md,14,Analyse any two components of India’s security strategy. 2x1=2.
answer_text,Pol Sci,2023-24,PolSci-MS.md,15,State any two differences between the First Five Year Plan 2 Politics in India
answer_text,Pol Sci,2023-24,PolSci-MS.md,19,Describe any four features of India’s Nuclear 4
answer_text,Pol Sci,2023-24,PolSci-MS.md,20,Discuss the developments that escalated the crisis within 4
answer_text,Pol Sci,2023-24,PolSci-MS.md,25,"In the given outline political map of India, four states have 1+1+1"
answer_text,Pol Sci,2023-24,PolSci-MS.md,26,Study the given Cartoon and answer the questions that 1+1+2
answer_text,Pol Sci,2023-24,PolSci-MS.md,29,Explain any three challenges faced by India at the time of 2+2+2
answer_text,Scluputre,2023-24,Scluputre-MS.md,10,"Artist, Sub School/ Time Period and Medium and Technique – 1 Mark 2"
answer_text,Scluputre,2023-24,Scluputre-MS.md,15,"Describing the continuous growth, origin and development in Mughal 6"
answer_text,Sociology,2023-24,Sociology-MS.md,4,Which of the following reasons are responsible for the invisibility of 1(U)
answer_text,Sociology,2023-24,Sociology-MS.md,6,In which ways Adivasis struggles are different from Dalit struggle? 1(U)
answer_text,Sociology,2023-24,Sociology-MS.md,7,"Stereotypes fix whole groups into single_______ categories, they 1(A)"
answer_text,Sociology,2023-24,Sociology-MS.md,11,Policies promoting integration involve- 1(A)
answer_text,Sociology,2023-24,Sociology-MS.md,12,Assertion (A): Urbanisation in the colonial period saw the formation 1(A)
answer_text,Sociology,2023-24,Sociology-MS.md,13,Assertion (A): The impact of Sanskritisation is many sided. 1(A)
answer_text,Sociology,2023-24,Sociology-MS.md,14,Major difference between developing and developed countries is in 1(U)
answer_text,Sociology,2023-24,Sociology-MS.md,18,Many of our cultural practices and patterns can be traced to our 2(U)
answer_text,Sociology,2023-24,Sociology-MS.md,19,"Using an example, describe adivasis internal colonialism. 2(A)"
answer_text,Sociology,2023-24,Sociology-MS.md,20,With an example show how being a minority group can be 2(U)
answer_text,Sociology,2023-24,Sociology-MS.md,21,The 1989 Prevention of Atrocities Act revised and strengthened the 2(A)
answer_text,Sociology,2023-24,Sociology-MS.md,25,In what ways have social movements shaped the world we live and 2(U)
answer_text,Sociology,2023-24,Sociology-MS.md,26,Kumudtai’s journey into Sanskrit began with great interest and 4(U)
answer_text,Sociology,2023-24,Sociology-MS.md,35,What changes did globalization and liberalization introduce in the 6(U)
mcq_key,Telugu Telangana,2023-24,TeluguTelangana-MS.md,2,A
mcq_key,Telugu Telangana,2023-24,TeluguTelangana-MS.md,4,A
answer_text,Psychology,2022-23,Psychology-MS.md,21,State any two ethical standards that need to be practiced by professional psychotherapists. 2
answer_text,Psychology,2022-23,Psychology-MS.md,29,"Mother Teresa believed that she had a mission to fulfil and did what came natural to her, 4"
mcq_key,Computer Science,2022-23,ComputerScience-MS.md,32,A
mcq_key,Computer Science,2022-23,ComputerScience-MS.md,21,A
answer_text,Computer Science,2022-23,ComputerScience-MS.md,5,Select the correct output of the code: 1
answer_text,Computer Science,2022-23,ComputerScience-MS.md,6,Which of the following mode in file opening statement results or generates an 1
answer_text,Computer Science,2022-23,ComputerScience-MS.md,7,Fill in the blank: 1
answer_text,Computer Science,2022-23,ComputerScience-MS.md,8,Which of the following commands will delete the table from MYSQL 1
answer_text,Computer Science,2022-23,ComputerScience-MS.md,9,Which of the following statement(s) would give an error after executing the 1
answer_text,Computer Science,2022-23,ComputerScience-MS.md,3,Since JOB has 2 NULL values
answer_text,Computer Science,2022-23,ComputerScience-MS.md,103,( ½ mark for the correct output)
answer_text,Computer Science,2022-23,ComputerScience-MS.md,1,Arunan 34 Computer Sc 2019-01-10 12000 M
